cell,r_center_cm,phi_0
431,8.63000000e+00,3.73564424e+00
432,8.65000000e+00,3.73865478e+00
433,8.67000000e+00,3.74167379e+00
434,8.69000000e+00,3.74470130e+00
435,8.71000000e+00,3.74773731e+00
436,8.73000000e+00,3.75078184e+00
437,8.75000000e+00,3.75383490e+00
438,8.77000000e+00,3.75689649e+00
439,8.79000000e+00,3.75996663e+00
440,8.81000000e+00,3.76304533e+00
441,8.83000000e+00,3.76613259e+00
442,8.85000000e+00,3.76922844e+00
443,8.87000000e+00,3.77233288e+00
444,8.89000000e+00,3.77544592e+00
445,8.91000000e+00,3.77856757e+00
446,8.93000000e+00,3.78169786e+00
447,8.95000000e+00,3.78483678e+00
448,8.97000000e+00,3.78798437e+00
449,8.99000000e+00,3.79114062e+00
450,9.01000000e+00,3.79430557e+00
451,9.03000000e+00,3.79747922e+00
452,9.05000000e+00,3.80066160e+00
453,9.07000000e+00,3.80385273e+00
454,9.09000000e+00,3.80705262e+00
455,9.11000000e+00,3.81026132e+00
456,9.13000000e+00,3.81347885e+00
457,9.15000000e+00,3.81670523e+00
458,9.17000000e+00,3.81994050e+00
459,9.19000000e+00,3.82318471e+00
460,9.21000000e+00,3.82643789e+00
461,9.23000000e+00,3.82970008e+00
462,9.25000000e+00,3.83297135e+00
463,9.27000000e+00,3.83625174e+00
464,9.29000000e+00,3.83954132e+00
465,9.31000000e+00,3.84284014e+00
466,9.33000000e+00,3.84614828e+00
467,9.35000000e+00,3.84946581e+00
468,9.37000000e+00,3.85279281e+00
469,9.39000000e+00,3.85612935e+00
470,9.41000000e+00,3.85947553e+00
471,9.43000000e+00,3.86283142e+00
472,9.45000000e+00,3.86619712e+00
473,9.47000000e+00,3.86957272e+00
474,9.49000000e+00,3.87295830e+00
475,9.51000000e+00,3.87635398e+00
476,9.53000000e+00,3.87975983e+00
477,9.55000000e+00,3.88317597e+00
478,9.57000000e+00,3.88660250e+00
479,9.59000000e+00,3.89003956e+00
480,9.61000000e+00,3.89348729e+00
